date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-06-30,吉田 正尚 (BOS),ナショナルズ 3 - 6 レッドソックス (試合終了),4,1,0,0,0,0,.250,2,11,,,,,,,,,
2026-06-30,大谷 翔平 (LAD),ドジャース 2 - 3 アスレチックス (試合中),2,0,0,0,0,1,.293,17,47,,,,,,,,,
2026-06-30,今永 昇太 (CHC),パドレス 2 - 2 カブス (試合中),,,,,,,,,,6.1,2,0,4,-.--,5,6,4.30,92
2026-06-30,鈴木 誠也 (CHC),パドレス 2 - 2 カブス (試合中),2,1,0,1,0,0,.264,12,38,,,,,,,,,
2026-06-30,岡本 和真 (TOR),メッツ 1 - 2 ブルージェイズ (試合終了),3,0,0,0,0,2,.236,19,53,,,,,,,,,
