date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-06-29,岡本 和真 (TOR),レンジャーズ 3 - 2 ブルージェイズ,4,0,0,0,0,0,.238,19,53,,,,,,,,,
2026-06-29,千賀 滉大 (NYM),フィリーズ 5 - 4 メッツ,,,,,,,,,,5.0,2,1,4,-.--,0,7,9.09,38
2026-06-29,鈴木 誠也 (CHC),カブス 4 - 3 ブルワーズ,5,1,0,2,0,2,.262,12,37,,,,,,,,,
2026-06-29,大谷 翔平 (LAD),ドジャース 4 - 2 パドレス,4,1,0,1,1,2,.295,17,47,,,,,,,,,
2026-06-29,松井 裕樹 (SD),ドジャース 4 - 2 パドレス,,,,,,,,,,1.2,0,0,2,-.--,0,1,1.53,33
2026-06-29,吉田 正尚 (BOS),ヤンキース 4 - 5 レッドソックス,1,1,0,0,0,0,.250,2,11,,,,,,,,,
